,max_temp
0,-4.692502382373168
1,-5.346182486027142
2,-5.602064472688368
3,-7.160161445390083
4,-1.2204858512473429
5,1.5169505222288873
6,1.7521365506223505
7,-0.9149382240942474
8,-1.4842835904623488
9,-1.755908664638869
10,-3.729821887696671
11,-4.606031023124918
12,-2.2845431545300894
13,0.1346353164616545
14,-0.6485013278998206
15,-3.933958119795437
16,-4.62173940434674
17,-3.5118488383291986
18,0.6957106109106839
19,-2.9990633336659336
20,-4.996172258115926
21,-6.19561705704453
22,-3.5973979333404316
23,-0.9015143981156752
24,-3.7079652708504467
25,-4.916748679742652
26,-2.0278620622622086
27,-1.7413021659098877
28,-2.5570650491804594
29,0.724853917270111
30,2.504460049253794
31,-2.6182406525236654
32,-0.7432415042397222
33,-2.1705351409342937
34,-0.7001135186907206
35,-2.7319679170178057
36,0.033911058567822394
37,-3.102466526240258
38,-2.8410899375189924
39,-3.38194777629446
40,-4.025027981917421
41,-1.570317835634805
42,1.0821960356439178
43,-6.86747234461341
44,-7.919308306714358
45,-6.573296539086007
46,-8.02942109280913
47,-6.587665386341114
48,-5.448012210426182
49,-4.6104437331915555
50,-3.8749415054279535
51,-0.1414864660528936
52,1.0899410522447752
53,-2.1806386828191435
54,-0.8532048091260238
55,-1.1277358763322702
56,0.9957901477786582
57,-1.8826041292281008
58,1.6371044688664558
59,3.7549396800721047
60,4.370925797159894
61,2.1850876604684073
62,2.597450650547848
63,0.5080406806441617
64,0.8168841890254157
65,1.8240081311526977
66,2.2294399716978734
67,2.6332076764105317
68,4.835339703836563
69,1.6358649968908026
70,-4.265187025713751
71,-5.46778647817765
72,-6.871903016464974
73,-8.177505847289051
74,-2.6845637372311852
75,-0.5930450219897354
76,-3.7029176157567854
77,1.0858509792803783
78,-1.526706336684236
79,-0.5405562708179819
80,-1.0556651475084866
81,1.1280010816640775
82,4.810476827844313
83,-2.608203145288486
84,0.5719962681851976
85,-2.7488894939707476
86,-3.3708246726421205
87,-3.493773197953699
88,-0.6176986999504956
89,0.257435480632092
90,-3.1683337184875326
91,-2.9949690920754377
92,-3.822433178399658
93,-3.850688270323631
94,-4.079696426472334
95,-2.309419482467737
96,-2.939819062230361
97,1.329143410656545
98,3.5975067015234545
99,3.2653097531350763
100,0.03259167415835451
101,4.59939172758129
102,8.665749319086125
103,9.231703985380204
104,1.8972953824881031
105,-4.437436725991633
106,-0.3724524806615731
107,0.7922880618711415
108,-1.143175082833545
109,-1.6788018388983061
110,-0.6145520819960107
111,-0.7503856512316038
112,-2.8862623610348965
113,-3.122142013060581
114,-2.6579844080920805
115,-2.793749357945635
116,-2.329396697371127
117,-1.1648862959461206
118,-4.30017806995957
119,-7.835231994281722
120,-7.4700081142166335
121,-5.604466557333873
122,-6.6385675452758335
123,-4.772271405537197
124,-3.6055385832130593
125,-1.1383296527122069
126,-0.2706053294321451
127,-0.8023264813923023
128,-2.933454140822134
129,-0.5639495157005134
130,4.006225998756871
131,6.477110808665571
132,9.048743110099316
133,9.021160877779032
134,5.194401853827566
135,-2.2314964634068577
136,-1.556496830454885
137,-0.48056226975486815
138,-3.803656080602926
139,-2.825741850021036
140,-2.2467834635399173
141,-3.866745115893514
142,-3.6855913216219145
143,-5.003286925579567
144,-3.019797113345704
145,-2.7350874215338195
146,-2.8491237479972398
147,-0.2618723619277121
148,1.1267000861559984
149,-2.88337344546761
150,-0.4920603994826047
151,1.9006713708232397
152,-0.20514640796105788
153,-0.20948243876481065
154,0.7876941366964099
155,-3.01358627121719
156,-5.413293709075007
157,-2.7113986892460344
158,-1.307872198630978
159,-2.2026857072538295
160,-3.9958111767103768
161,-4.88722106847114
162,-2.2768883520362913
163,-4.064786512940132
164,-4.450889560602728
165,-1.435172036026474
166,-0.017609019335176335
167,1.8018238628464962
168,4.62315043017536
169,4.846393941536077
170,-1.628422911846437
171,-1.0012780131265036
172,-1.6721498263871153
173,-4.641017403017266
174,-2.8078603879154507
175,-1.4726590255173404
176,-0.0353941656459682
177,-0.6960472691826061
178,-3.9546004135567294
179,-5.011036298053353
180,-3.165338248936272
181,-3.0174902243855914
182,0.33252318075183585
183,1.5847167304005065
184,3.639104542884306
185,3.1957000867456484
186,-0.045483823242929766
187,1.1155649701264618
188,-1.2211420371030606
189,-0.05559401345741577
190,-1.287780795239077
191,2.9823071104631955
192,4.054678522963229
193,-0.07065841463419087
194,-1.0936962378447266
195,1.3855718369850774
196,4.467151910668968
197,-0.44895060062562653
198,-4.5627309669814995
199,-0.774185146132286
200,-2.783309784659518
201,-4.190102218985657
202,-3.5945604761628465
203,-1.1966832744571514
204,2.9035299762718623
205,4.8060791743964035
206,7.610963526550517
207,5.118181547865053
208,-2.4722689375926503
209,-0.7603907961743985
210,-1.446187583802332
211,0.8703364550840682
212,-0.6108236112151166
213,-2.189673400199835
214,-0.5662192135065611
215,0.3595319649577764
216,2.687572471083942
217,1.0178939628299242
218,-1.9495125773087345
219,-1.9146568396286252
220,-1.9775491843489048
221,1.6617993614566595
222,3.1033771071250964
223,-0.3528282981338382
224,-1.4068298615802544
225,-0.45864124309231347
226,-0.7082767511211818
227,-3.3557513384538824
228,-3.401080597785384
229,-1.744280757101163
230,1.3146313251283495
231,-1.6243618350599984
232,-1.7612783419445712
233,-5.196136914757779
234,-4.32895688214281
235,-2.859758176429872
236,-2.3885613277337097
237,-3.6153874578740304
238,0.8597417258792017
239,3.0368039372339055
240,5.215776317475473
241,2.396635442235848
242,2.1793573284301226
243,1.0639174413586057
244,-1.0497092980278016
245,1.3384514942990098
246,3.3283736730299376
247,5.7200305712610025
248,1.8133950083901764
249,4.308439298166284
250,1.9051352568876565
251,1.4034542117481372
252,3.5033670093278344
253,-2.1951559757737167
254,-0.9921448321646666
255,-1.1876301027507852
256,-1.8816427756908833
257,1.0257857247796478
258,2.134623547654404
259,1.4448384245879247
260,-0.5436023205487341
261,-1.1307317619917567
262,-3.116583362290328
263,-4.301190962397493
264,-3.6845887716488734
265,-1.6668113576323917
266,0.45210636404815663
267,2.9721291401125822
268,-0.20677860995625252
269,-0.38465278337603337
270,-0.561529583434881
271,1.1625544912294465
272,1.587562657437826
273,3.2134578583622484
274,2.940202774499382
275,-0.032240165278109245
276,0.1960912274042852
277,2.0251589116199646
278,3.2549246284062203
279,5.18534991209372
280,4.716396101697266
281,0.44802435236437255
282,2.2801956468783064
283,3.2128708072121333
284,2.2460105061304247
285,1.5795752788351176
286,2.3135255346521317
287,0.5478215687552803
288,0.6824235739239021
289,0.617291652330919
290,2.9523858273576606
291,-0.5123339445679673
292,0.22309223788654897
293,-0.8413757671673949
294,-2.7057781329523762
295,-0.6701550521285891
296,-0.6345467248916199
297,-1.1989933470681466
298,-1.563535098212808
299,-3.228212129709948
300,-1.593064552883686
301,0.7418675728801687
302,1.4765442519967555
303,0.6109255645259899
304,0.044971677993939085
305,2.078642859188319
306,2.211899485924575
307,-0.2552979412208858
308,0.4770112127861601
309,1.3087877290947971
310,-2.760007453417231
311,-2.729413226576481
312,-2.999468301396854
313,-0.9702111966162024
314,-4.441680227289883
315,-5.213913493444608
316,-4.286948868795982
317,-5.660823989533061
318,-5.135576243173246
319,-2.7112427574907922
320,-1.0878603895222807
321,-1.1654657146522318
322,-4.444095015782123
323,-4.323784272586034
324,-0.4045691508560534
325,0.8135150080593032
326,-1.8695668022793432
327,3.7461507569641377
328,4.860633380165501
329,4.4738471273989555
330,2.985758434487722
331,2.5963341229433157
332,4.7055414097905635
333,3.913347917275586
334,4.719721682453745
335,3.9246311666546925
336,4.8280452648219025
337,6.429933314723693
338,5.630265106033163
339,4.629010889274302
340,2.826141384631639
341,5.521627790620758
342,2.515441792617265
343,-0.19244442875850698
344,3.397941810596558
345,3.286573706357416
346,3.0734249737083026
347,-0.24153014487359936
348,2.3416831280093575
349,-0.07695988785560015
350,-1.2974833229832132
351,-2.6199107510444417
352,-2.8442651818856843
353,-3.870569054714897
354,-4.498844231456781
355,-4.929111990278811
356,-2.7613930192902156
357,-2.195707410415663
358,0.36792534655453846
359,3.8294863697358537
360,-0.21104260925897922
361,-1.053679239910223
362,-2.798440547564619
363,-2.8453429283937313
364,-6.094402144538575
365,-4.745633319442021
366,3.9009490666296562
367,2.7453311808748166
368,1.0874998420526945
369,1.5274425243867462
370,-0.33485263872613835
371,-1.7993968512015925
372,-1.8662006509500069
373,-2.8352739067559387
374,-3.106625815355721
375,-4.180264898714038
376,-3.6561990015003394
377,-5.834435288765829
378,-2.8149802438216858
379,-1.0978396663191763
380,-1.983018670532231
